victim_qasm,victim_tag,knob,start_name,start_error_ns,probe_name,spacing_pattern,probe_round_period_ns,observation_duration_ns,workload_type,placement,threat_model,hub_max_concurrent_transfers,victim_true_start_ns,within_round_event_spacing_ns,estimated_window_start_ns,estimated_window_end_ns,total_probe_rounds,total_attacker_events,total_attacker_remote_requests,first_remote_probe_release_ns,last_remote_probe_release_ns,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,victim_only_duration_ns,victim_on_duration_ns,victim_slowdown_ns,victim_slowdown_ratio,window_victim_overlap_ns_evaluator_only,pre_victim_probe_count_evaluator_only,useful_probe_count_evaluator_only,post_victim_probe_count_evaluator_only,useful_probe_fraction_evaluator_only,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns
bv_n19.qasm,bv_n19,window_start_estimation,start_m10us,-10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,10000,30000,48,336,48,10030,29770,76,16,16,0.0,0.0,110.0,94.375,1460.0,204.375,94.375,94.375,0.0,1460.0,4530.0,6,0.125,1880.0,1990.0,110.0,1.0585106382978724,1880.0,24,5,19,0.10416666666666667,29880,21880,29880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_m10us,-10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,10000,30000,48,336,48,10030,29770,2032,72,72,0.0,0.0,110.0,482.5,2085.0,592.5,482.5,482.5,0.0,2085.0,23160.0,18,0.375,11605.0,12455.0,850.0,1.0732442912537699,10000.0,24,24,0,0.5,29880,31605,32455
qft_n18.qasm,qft_n18,window_start_estimation,start_m10us,-10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,10000,30000,48,336,48,10030,29770,802,217,217,0.0,0.0,110.0,7604.166666666667,21160.0,7714.166666666667,7604.166666666667,7604.166666666667,0.0,21160.0,365000.0,23,0.4791666666666667,24290.0,25280.0,990.0,1.0407575133799918,10000.0,24,24,0,0.5,29880,44290,46820
sat_n11.qasm,sat_n11,window_start_estimation,start_m10us,-10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,10000,30000,48,336,48,10030,29770,95,42,42,0.0,0.0,110.0,674.8958333333334,4255.0,784.8958333333334,674.8958333333334,674.8958333333334,0.0,4255.0,32395.0,15,0.3125,4675.0,4785.0,110.0,1.0235294117647058,4675.0,24,11,13,0.22916666666666666,29880,24675,29880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_m10us,-10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,10000,30000,48,336,48,10030,29770,558,247,247,0.0,0.0,110.0,9773.333333333334,24920.0,9883.333333333334,9773.333333333334,9773.333333333334,455.0,24920.0,469120.0,24,0.5,27200.0,27970.0,770.0,1.0283088235294118,10000.0,24,24,0,0.5,29880,47200,49840
bv_n19.qasm,bv_n19,window_start_estimation,start_m5us,-5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,15000,35000,48,336,48,15030,34770,76,16,16,0.0,0.0,110.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,4250.0,5,0.10416666666666667,1880.0,1960.0,80.0,1.0425531914893618,1880.0,12,5,31,0.10416666666666667,34880,21880,34880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_m5us,-5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,15000,35000,48,336,48,15030,34770,2032,72,72,0.0,0.0,110.0,682.5,2305.0,792.5,682.5,682.5,370.0,2305.0,32760.0,26,0.5416666666666666,11605.0,12455.0,850.0,1.0732442912537699,11605.0,12,28,8,0.5833333333333334,34880,31605,34880
qft_n18.qasm,qft_n18,window_start_estimation,start_m5us,-5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,15000,35000,48,336,48,15030,34770,802,217,217,0.0,0.0,110.0,11334.791666666666,21200.0,11444.791666666666,11334.791666666666,11334.791666666666,14655.0,21200.0,544070.0,35,0.7291666666666666,24290.0,25280.0,990.0,1.0407575133799918,15000.0,12,36,0,0.75,34880,44290,48140
sat_n11.qasm,sat_n11,window_start_estimation,start_m5us,-5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,15000,35000,48,336,48,15030,34770,95,42,42,0.0,0.0,110.0,675.9375,4295.0,785.9375,675.9375,675.9375,0.0,4295.0,32445.0,15,0.3125,4675.0,4785.0,110.0,1.0235294117647058,4675.0,12,11,25,0.22916666666666666,34880,24675,34880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_m5us,-5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,15000,35000,48,336,48,15030,34770,558,247,247,0.0,0.0,110.0,14289.583333333334,24960.0,14399.583333333334,14289.583333333334,14289.583333333334,18295.0,24960.0,685900.0,36,0.75,27200.0,27970.0,770.0,1.0283088235294118,15000.0,12,36,0,0.75,34880,47200,51160
